country_code,year,n_loans,total_loan_amount,gdp_pc_const2015,log_gdp_pc
DO,2017,75,295525.0,7379.399780671366,8.906447583754677
EC,2013,183,229475.0,5893.321726830364,8.681575078092349
EC,2014,2953,4017000.0,6055.041727614853,8.708646547394471
EC,2015,2776,3190675.0,5976.159680565097,8.695533446764424
EC,2016,5086,4898800.0,5849.135879336722,8.674049216381379
EC,2017,2523,2664325.0,6104.272535217513,8.716744220594295
EG,2014,46,34750.0,3235.662462352572,8.081988965677631
EG,2015,432,347600.0,3306.9815941414076,8.103791147239484
EG,2016,640,507375.0,3381.2224630620676,8.125992598550411
EG,2017,521,213550.0,3452.909612455395,8.146972520521286
GE,2013,87,181675.0,3806.5060064905138,8.244466988701285
GE,2014,627,838250.0,3960.3508009190073,8.28408788641567
GE,2015,1025,1580000.0,4086.6223465964995,8.315474075721646
GE,2016,550,832475.0,4225.091549048057,8.348796207970258
GE,2017,120,177800.0,4442.50744127374,8.398974235046817
GH,2013,23,30300.0,1718.5970476995847,7.449263567025666
GH,2014,847,1075825.0,1726.3693013464651,7.453775812456559
GH,2015,1350,1501425.0,1722.7728283360616,7.451690381251575
GH,2016,1433,1483100.0,1740.8110190292825,7.462106386506757
GH,2017,721,869775.0,1841.446361532492,7.518306607865189
GT,2013,17,14325.0,3717.3046262841303,8.220754121817835
GT,2014,1609,2330825.0,3809.6158757009102,8.245283643012058
GT,2015,2406,3427475.0,3893.5053329906823,8.267065144732472
GT,2016,2221,3657675.0,3924.778948370984,8.275065309744168
GT,2017,1057,1983700.0,3972.74057836068,8.28721145752381
HN,2013,52,34600.0,2205.4012672806716,7.698664751950636
HN,2014,2455,2165250.0,2229.2477223221786,7.709419463290649
HN,2015,1455,1527825.0,2271.2026598034863,7.728064776258589
HN,2016,1706,1483125.0,2315.7298305819804,7.74748017842633
HN,2017,889,833150.0,2383.373984397137,7.776272403264892
HT,2013,15,49725.0,1392.3820473685928,7.238771262553815
HT,2014,533,614750.0,1411.7683480215373,7.252598345119128
HT,2015,746,583500.0,1411.1268474679646,7.252143846797234
HT,2016,1502,888925.0,1416.7488187969846,7.256119961308061
HT,2017,822,658025.0,1432.672286095407,7.267296710882684
